chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart,Sentiment,Emotions
1968-03-09,9,La - La - Means I Love You,The Delfonics,19,9,6,Positive,"{'joy': 16, 'trust': 8, 'fear': 2, 'anticipation': 2, 'sadness': 1, 'surprise': 1}"
1968-03-16,8,Valleri,The Monkees,24,8,2,Positive,"{'joy': 6, 'anticipation': 1, 'surprise': 1, 'trust': 1}"
1968-03-16,9,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,17,9,3,Positive,"{'anticipation': 24, 'joy': 56, 'surprise': 22, 'trust': 23, 'fear': 3, 'sadness': 4, 'anger': 2, 'disgust': 2}"
1968-03-16,10,I Thank You,Sam & Dave,11,10,8,Positive,"{'joy': 18, 'anger': 1, 'anticipation': 2, 'disgust': 2, 'fear': 2, 'sadness': 3, 'surprise': 2, 'trust': 1}"
1968-03-23,10,The Ballad Of Bonnie And Clyde,Georgie Fame,17,10,6,Positive,"{'anger': 7, 'anticipation': 7, 'disgust': 5, 'fear': 7, 'sadness': 2, 'joy': 7, 'trust': 7, 'surprise': 5}"
1968-03-30,7,Young Girl,The Union Gap Featuring Gary Puckett,12,7,5,Positive,"{'anticipation': 14, 'joy': 20, 'surprise': 12, 'trust': 2, 'anger': 1, 'fear': 3}"
1968-03-30,9,Lady Madonna,The Beatles,23,9,2,Positive,"{'trust': 7, 'anger': 3, 'anticipation': 5, 'joy': 6, 'surprise': 2, 'disgust': 2, 'sadness': 1}"
1968-04-06,6,Cry Like A Baby,The Box Tops,15,6,6,Positive,"{'anticipation': 72, 'joy': 91, 'trust': 84, 'fear': 53, 'surprise': 44, 'anger': 36, 'sadness': 64, 'disgust': 29}"
1968-04-06,10,Honey,Bobby Goldsboro,23,10,3,Positive,"{'anger': 7, 'anticipation': 11, 'disgust': 5, 'joy': 14, 'surprise': 9, 'trust': 11, 'fear': 7, 'sadness': 11}"
1968-04-13,10,Mighty Quinn (Quinn The Eskimo),Manfred Mann,11,10,7,Positive,"{'anger': 7, 'disgust': 2, 'fear': 9, 'sadness': 3, 'joy': 10, 'trust': 8, 'anticipation': 4, 'surprise': 2}"
1968-04-20,8,Dance To The Music,Sly & The Family Stone,14,8,11,Positive,"{'joy': 27, 'sadness': 14, 'trust': 14, 'surprise': 3, 'anger': 13, 'disgust': 4, 'fear': 5, 'anticipation': 1}"
1968-04-20,9,I Got The Feelin',James Brown And The Famous Flames,11,9,6,Positive,"{'anger': 9, 'anticipation': 11, 'disgust': 10, 'fear': 9, 'joy': 39, 'sadness': 9, 'surprise': 8, 'trust': 13}"
1968-04-27,9,Tighten Up,Archie Bell & The Drells,25,9,5,Positive,"{'anticipation': 4, 'joy': 8, 'sadness': 5, 'trust': 4, 'surprise': 1, 'anger': 29}"
1968-05-04,7,Cowboys To Girls,The Intruders,13,7,7,Positive,"{'anger': 11, 'fear': 12, 'disgust': 6, 'sadness': 7, 'surprise': 8, 'joy': 12, 'anticipation': 4, 'trust': 1}"
1968-05-04,9,A Beautiful Morning,The Rascals,19,9,4,Positive,"{'joy': 9, 'surprise': 4, 'trust': 6, 'disgust': 2, 'anticipation': 6, 'anger': 1, 'fear': 4, 'sadness': 1}"
1968-05-04,10,The Unicorn,The Irish Rovers,12,10,7,Positive,"{'anticipation': 9, 'joy': 9, 'trust': 10, 'fear': 3, 'disgust': 3, 'sadness': 2, 'anger': 1}"
1968-05-11,9,Mrs. Robinson,Simon & Garfunkel,32,9,3,Positive,"{'anticipation': 9, 'fear': 12, 'joy': 11, 'trust': 12, 'surprise': 6, 'sadness': 3, 'anger': 3, 'disgust': 2}"
1968-05-18,7,Love Is All Around,The Troggs,11,7,13,Positive,"{'joy': 9, 'anger': 1, 'anticipation': 3, 'disgust': 1, 'fear': 1, 'sadness': 1, 'surprise': 1, 'trust': 10}"
1968-05-18,10,Do You Know The Way To San José,Dionne Warwick,19,10,6,Positive,"{'anticipation': 7, 'anger': 1, 'disgust': 1, 'fear': 1, 'sadness': 1, 'surprise': 2, 'joy': 6, 'trust': 7}"
1968-05-25,8,Ain't Nothing Like The Real Thing,Marvin Gaye & Tammi Terrell,14,8,7,Positive,"{'trust': 17, 'joy': 15, 'anger': 1, 'disgust': 1, 'fear': 1, 'sadness': 1, 'anticipation': 7, 'surprise': 1}"
1968-05-25,9,Shoo-Be-Doo-Be-Doo-Da-Day,Stevie Wonder,11,9,8,Positive,"{'anticipation': 4, 'joy': 12, 'surprise': 5, 'sadness': 6, 'trust': 6, 'anger': 2, 'fear': 2, 'disgust': 2}"
1968-06-01,6,Yummy Yummy Yummy,Ohio Express,24,6,5,Positive,"{'joy': 34, 'anticipation': 11, 'surprise': 11, 'trust': 9, 'anger': 1, 'disgust': 1, 'sadness': 1}"
1968-06-01,7,Mony Mony,Tommy James And The Shondells,12,7,9,Positive,"{'anger': 3, 'fear': 3, 'joy': 11, 'anticipation': 5, 'surprise': 7, 'trust': 5, 'sadness': 1}"
1968-06-08,3,This Guy's In Love With You,Herb Alpert,11,3,4,Positive,"{'joy': 14, 'surprise': 1, 'trust': 2, 'anticipation': 1, 'fear': 3, 'sadness': 1}"
1968-06-08,7,MacArthur Park,Richard Harris,12,7,5,Positive,"{'joy': 13, 'trust': 14, 'anger': 2, 'sadness': 5, 'anticipation': 10, 'surprise': 6, 'fear': 2, 'disgust': 1}"
1968-06-08,9,Think,Aretha Franklin,13,9,4,Positive,"{'anticipation': 1, 'joy': 19, 'trust': 13, 'fear': 3, 'anger': 2, 'disgust': 2, 'sadness': 2, 'surprise': 2}"
1968-06-15,10,The Look Of Love,Sergio Mendes & Brasil '66,13,10,6,Positive,"{'joy': 11, 'anticipation': 10, 'anger': 1, 'trust': 5, 'fear': 1, 'surprise': 1}"
1968-06-22,8,Angel Of The Morning,Merrilee Rush & The Turnabouts,14,8,8,Positive,"{'joy': 20, 'anticipation': 15, 'surprise': 18, 'trust': 14, 'sadness': 5}"
1968-06-22,10,Reach Out Of The Darkness,Friend And Lover,22,10,6,Positive,"{'anger': 10, 'fear': 14, 'sadness': 10, 'anticipation': 15, 'disgust': 15, 'joy': 29, 'surprise': 22, 'trust': 26}"
1968-06-29,9,Here Comes The Judge,Shorty Long,11,9,5,Positive,"{'anger': 8, 'anticipation': 9, 'fear': 9, 'joy': 5, 'trust': 9, 'disgust': 2, 'sadness': 5}"
1968-07-06,3,Jumpin' Jack Flash,The Rolling Stones,11,3,5,Positive,"{'anticipation': 1, 'fear': 4, 'trust': 3, 'disgust': 1, 'sadness': 1}"
1968-07-06,6,Lady Willpower,Gary Puckett And The Union Gap,15,6,5,Positive,"{'joy': 12, 'fear': 1, 'anticipation': 1, 'surprise': 2, 'trust': 4}"
1968-07-13,8,Stoned Soul Picnic,The 5th Dimension,17,8,7,Positive,"{'anticipation': 16, 'joy': 15, 'surprise': 15, 'trust': 16, 'disgust': 2, 'anger': 2, 'fear': 2, 'sadness': 2}"
1968-07-13,10,Indian Lake,The Cowsills,15,10,7,Positive,"{'anticipation': 11, 'joy': 11, 'surprise': 4, 'trust': 5, 'sadness': 1, 'anger': 1, 'fear': 7, 'disgust': 3}"
1968-07-20,7,Hurdy Gurdy Man,Donovan,12,7,5,Positive,"{'anticipation': 2, 'joy': 12, 'trust': 6, 'sadness': 1}"
1968-07-20,9,"Hello, I Love You",The Doors,22,9,3,Positive,"{'joy': 17, 'fear': 1, 'anticipation': 4, 'surprise': 3, 'trust': 3, 'disgust': 1}"
1968-08-03,9,"Turn Around, Look At Me",The Vogues,11,9,8,Positive,"{'joy': 1, 'trust': 1, 'anticipation': 1}"
1968-08-03,10,Sunshine Of Your Love,Cream,18,10,19,Positive,"{'joy': 17, 'anticipation': 9, 'surprise': 3, 'trust': 3, 'sadness': 2, 'fear': 1}"
1968-08-10,5,People Got To Be Free,The Rascals,13,5,4,Positive,"{'fear': 2, 'sadness': 5, 'anticipation': 9, 'joy': 6, 'trust': 5, 'surprise': 3}"
1968-08-17,4,Born To Be Wild,Steppenwolf,11,4,6,Positive,"{'surprise': 13, 'anticipation': 11, 'joy': 11, 'trust': 6, 'fear': 11, 'anger': 4, 'sadness': 8, 'disgust': 1}"
1968-08-17,5,Light My Fire,Jose Feliciano,20,5,4,Positive,"{'fear': 28, 'disgust': 5, 'joy': 10, 'anticipation': 2, 'sadness': 3, 'trust': 1, 'anger': 1, 'surprise': 1}"
1968-08-24,9,I Can't Stop Dancing,Archie Bell & The Drells,16,9,6,Positive,"{'anticipation': 1, 'joy': 4, 'trust': 2, 'sadness': 4, 'fear': 2}"
1968-08-24,10,Stay In My Corner,The Dells,13,10,9,Positive,"{'joy': 42, 'trust': 8, 'anticipation': 7, 'sadness': 1, 'surprise': 4}"
1968-08-31,6,You Keep Me Hangin' On,The Vanilla Fudge,11,6,13,Negative,"{'anger': 214, 'disgust': 183, 'fear': 167, 'sadness': 163, 'surprise': 85, 'anticipation': 99, 'joy': 74, 'trust': 109}"
1968-08-31,7,Harper Valley P.T.A.,Jeannie C. Riley,81,7,2,Negative,"{'fear': 1, 'sadness': 4, 'joy': 3, 'surprise': 3, 'anger': 2, 'anticipation': 2, 'disgust': 1, 'trust': 1}"
1968-08-31,8,You're All I Need To Get By,Marvin Gaye & Tammi Terrell,15,8,6,Positive,"{'anticipation': 9, 'joy': 17, 'surprise': 5, 'trust': 14, 'anger': 2, 'disgust': 2, 'fear': 1, 'sadness': 1}"
1968-09-07,6,The House That Jack Built,Aretha Franklin,20,6,4,Positive,"{'trust': 5, 'joy': 9, 'anticipation': 6, 'anger': 2, 'sadness': 4, 'disgust': 1, 'fear': 1}"
1968-09-07,7,"1, 2, 3, Red Light",1910 Fruitgum Co.,12,7,7,Positive,"{'anticipation': 9, 'joy': 11, 'anger': 2, 'disgust': 2, 'fear': 2, 'sadness': 2, 'surprise': 2}"
1968-09-14,8,Hush,Deep Purple,13,8,5,Positive,"{'fear': 4, 'sadness': 6, 'trust': 4, 'anger': 3, 'disgust': 3, 'anticipation': 5, 'joy': 22}"
1968-09-14,10,Hey Jude,The Beatles,NA,10,1,Negative,"{'anger': 4, 'disgust': 5, 'fear': 6, 'sadness': 5, 'anticipation': 2, 'joy': 1, 'trust': 2, 'surprise': 1}"
1968-09-21,8,The Fool On The Hill,Sergio Mendes & Brasil '66,11,8,7,Negative,"{'disgust': 5, 'anticipation': 2, 'joy': 2, 'surprise': 2, 'trust': 2}"
1968-09-21,9,I've Gotta Get A Message To You,Bee Gees,23,9,6,Negative,"{'anticipation': 3, 'fear': 3, 'sadness': 4, 'anger': 1, 'joy': 1, 'disgust': 1}"
1968-09-28,5,Fire,The Crazy World Of Arthur Brown,15,5,4,Positive,"{'anticipation': 3, 'fear': 11, 'joy': 1, 'trust': 1, 'sadness': 2}"
1968-09-28,9,Girl Watcher,The O'Kaysions,16,9,7,Positive,"{'disgust': 1, 'joy': 2, 'trust': 3, 'anticipation': 1}"
1968-09-28,10,Slip Away,Clarence Carter,13,10,12,Negative,"{'surprise': 12, 'joy': 10, 'trust': 6, 'anticipation': 3, 'anger': 1, 'fear': 2, 'sadness': 1}"
1968-10-05,4,Little Green Apples,O.C. Smith,20,4,8,Positive,"{'joy': 20, 'trust': 22, 'anger': 4, 'anticipation': 10, 'disgust': 3, 'fear': 7, 'sadness': 5, 'surprise': 4}"
1968-10-05,10,I Say A Little Prayer,Aretha Franklin,14,10,8,Positive,"{'trust': 8, 'joy': 31, 'anticipation': 3, 'surprise': 2}"
1968-10-12,6,Midnight Confessions,The Grass Roots,17,6,7,Positive,"{'anticipation': 3, 'joy': 5, 'trust': 2, 'surprise': 1, 'fear': 1}"
1968-10-12,7,My Special Angel,The Vogues,18,7,6,Positive,"{'joy': 23, 'anticipation': 16, 'surprise': 14, 'trust': 15, 'disgust': 1, 'fear': 3}"
1968-10-12,9,Over You,Gary Puckett And The Union Gap,25,9,4,Negative,"{'trust': 1, 'anticipation': 4, 'joy': 2, 'surprise': 4, 'anger': 3, 'disgust': 1, 'fear': 2, 'sadness': 3}"
1968-10-19,10,Say It Loud - I'm Black And I'm Proud (Part 1),James Brown,14,10,7,Negative,"{'sadness': 25, 'anticipation': 19, 'joy': 17, 'trust': 19, 'anger': 9, 'disgust': 2, 'fear': 8, 'surprise': 2}"
1968-10-26,4,Those Were The Days,Mary Hopkin,13,4,5,Positive,"{'anticipation': 12, 'joy': 17, 'trust': 15, 'sadness': 11, 'anger': 9, 'fear': 9, 'disgust': 5, 'surprise': 8}"
1968-10-26,9,Elenore,The Turtles,14,9,6,Positive,"{'anger': 1, 'disgust': 1, 'fear': 2, 'sadness': 1, 'joy': 8, 'anticipation': 4, 'trust': 1}"
1968-11-02,8,Hold Me Tight,Johnny Nash,11,8,8,Positive,"{'joy': 5, 'anticipation': 1, 'disgust': 2}"
1968-11-02,9,Love Child,Diana Ross & The Supremes,19,9,3,Positive,"{'anticipation': 57, 'joy': 68, 'disgust': 8, 'trust': 5, 'anger': 3, 'fear': 9, 'sadness': 10, 'surprise': 1}"
1968-11-02,10,White Room,Cream,15,10,5,Negative,"{'anticipation': 7, 'joy': 3, 'trust': 3, 'sadness': 10, 'surprise': 3, 'anger': 4, 'disgust': 3, 'fear': 3}"
1968-11-09,7,Magic Carpet Ride,Steppenwolf,12,7,6,Positive,"{'trust': 2, 'joy': 2, 'surprise': 1, 'anticipation': 1}"
1968-11-16,8,Who's Making Love,Johnnie Taylor,21,8,4,Positive,"{'joy': 15, 'anticipation': 2, 'surprise': 1, 'trust': 3, 'anger': 2, 'disgust': 1, 'fear': 1, 'sadness': 3}"
1968-11-16,9,"Abraham, Martin And John",Dion,18,9,4,Positive,"{'disgust': 2, 'joy': 12, 'trust': 8, 'anticipation': 8, 'surprise': 7, 'fear': 3, 'sadness': 3}"
1968-11-23,10,Wichita Lineman,Glen Campbell,23,10,4,Positive,"{'trust': 2, 'anticipation': 4, 'joy': 2, 'surprise': 3, 'sadness': 2, 'disgust': 1}"
1968-11-30,7,For Once In My Life,Stevie Wonder,14,7,5,Positive,"{'anticipation': 4, 'joy': 7, 'trust': 1, 'fear': 10, 'sadness': 10, 'anger': 8, 'disgust': 2}"
1968-12-07,4,I Heard It Through The Grapevine,Marvin Gaye,16,4,3,Positive,"{'sadness': 6, 'joy': 11, 'fear': 4, 'surprise': 4, 'trust': 2, 'anger': 4, 'disgust': 3, 'anticipation': 1}"
1968-12-14,9,I Love How You Love Me,Bobby Vinton,11,9,7,Positive,"{'joy': 26, 'anticipation': 5, 'surprise': 2, 'anger': 2, 'disgust': 1, 'fear': 1, 'sadness': 2, 'trust': 4}"
1968-12-21,8,Both Sides Now,Judy Collins,11,8,7,Positive,"{'anticipation': 5, 'joy': 10, 'surprise': 7, 'trust': 6, 'sadness': 5, 'anger': 3, 'disgust': 3, 'fear': 3}"
1968-12-28,7,I'm Gonna Make You Love Me,Diana Ross And The Supremes & The Temptations,17,7,4,Positive,"{'joy': 24, 'trust': 1, 'surprise': 1, 'disgust': 2, 'anger': 1}"
1968-12-28,10,Cloud Nine,The Temptations,12,10,7,Positive,"{'joy': 8, 'anticipation': 2, 'trust': 5, 'disgust': 5, 'sadness': 10, 'anger': 3, 'fear': 8, 'surprise': 2}"
1969-01-04,10,Hooked On A Feeling,B.J. Thomas,13,10,8,Positive,"{'anger': 2, 'anticipation': 5, 'disgust': 2, 'fear': 2, 'joy': 10, 'sadness': 2, 'surprise': 5, 'trust': 5}"
1969-01-11,8,Crimson And Clover,Tommy James And The Shondells,17,8,5,Positive,"{'joy': 4, 'trust': 3, 'anticipation': 2, 'surprise': 2, 'fear': 2, 'sadness': 2, 'anger': 1, 'disgust': 1}"
1969-01-18,8,Touch Me,The Doors,18,8,4,Positive,"{'fear': 2, 'joy': 13, 'trust': 7, 'sadness': 3}"
1969-01-18,9,Worst That Could Happen,Brooklyn Bridge,23,9,5,Positive,"{'anticipation': 8, 'joy': 5, 'trust': 2, 'anger': 2, 'disgust': 2, 'fear': 2, 'sadness': 1, 'surprise': 1}"
1969-01-18,10,Son-Of-A Preacher Man,Dusty Springfield,13,10,8,Positive,"{'disgust': 7, 'trust': 7, 'fear': 2, 'joy': 7, 'surprise': 7, 'anticipation': 4, 'anger': 1}"
1969-01-25,5,Everyday People,Sly & The Family Stone,15,5,9,Positive,"{'anger': 2, 'disgust': 3, 'fear': 2, 'trust': 3, 'sadness': 4, 'joy': 3, 'anticipation': 2}"
1969-01-25,9,I Started A Joke,Bee Gees,16,9,6,Negative,"{'sadness': 6, 'joy': 3, 'anger': 2, 'fear': 2, 'anticipation': 2, 'disgust': 2, 'surprise': 2, 'trust': 2}"
1969-02-01,10,Build Me Up Buttercup,The Foundations,28,10,5,Positive,"{'joy': 20, 'disgust': 4, 'trust': 6, 'anticipation': 11, 'surprise': 4, 'sadness': 1}"
1969-02-08,10,Can I Change My Mind,Tyrone Davis,11,10,8,Positive,"{'fear': 14, 'sadness': 7, 'surprise': 2, 'anticipation': 7, 'joy': 8, 'disgust': 2, 'trust': 1, 'anger': 1}"
1969-02-15,7,You Showed Me,The Turtles,14,7,7,Positive,"{'sadness': 4, 'joy': 18, 'trust': 5, 'surprise': 1}"
1969-02-22,8,This Magic Moment,Jay & The Americans,12,8,9,Positive,"{'fear': 1, 'joy': 1, 'surprise': 1, 'anticipation': 2}"
1969-02-22,9,Proud Mary,Creedence Clearwater Revival,21,9,5,Positive,"{'anticipation': 8, 'joy': 7, 'surprise': 4, 'trust': 7, 'sadness': 2, 'fear': 1, 'anger': 1}"
1969-02-22,10,I'm Livin' In Shame,Diana Ross & The Supremes,11,10,5,Negative,"{'disgust': 7, 'fear': 6, 'sadness': 3, 'joy': 2, 'trust': 2, 'anticipation': 1, 'anger': 2, 'surprise': 1}"
1969-03-01,8,"Baby, Baby Don't Cry",Smokey Robinson & The Miracles,11,8,9,Positive,"{'joy': 44, 'sadness': 17, 'fear': 5, 'anger': 6, 'anticipation': 6, 'trust': 5, 'disgust': 4, 'surprise': 2}"
1969-03-01,10,Dizzy,Tommy Roe,25,10,5,Negative,"{'fear': 5, 'anticipation': 5, 'anger': 1, 'disgust': 2, 'sadness': 1, 'joy': 2, 'surprise': 2, 'trust': 3}"
1969-03-08,7,This Girl's In Love With You,Dionne Warwick,11,7,6,Positive,"{'joy': 12, 'surprise': 1, 'trust': 2, 'anticipation': 1, 'fear': 2, 'sadness': 2}"
1969-03-08,10,Indian Giver,1910 Fruitgum Co.,16,10,7,Positive,"{'anticipation': 3, 'joy': 8, 'surprise': 2, 'trust': 5, 'anger': 1, 'disgust': 1, 'fear': 2, 'sadness': 2}"
1969-03-15,5,Traces,Classics IV Featuring Dennis Yost,17,5,6,Positive,"{'anticipation': 5, 'joy': 8, 'surprise': 2, 'fear': 1, 'trust': 2}"
1969-03-15,9,Time Of The Season,The Zombies,20,9,6,Positive,"{'anticipation': 10, 'joy': 4, 'surprise': 1, 'trust': 8}"
1969-03-22,10,"Run Away Child, Running Wild",The Temptations,11,10,6,Negative,"{'anticipation': 17, 'joy': 17, 'surprise': 10, 'trust': 15, 'disgust': 24, 'sadness': 35, 'fear': 11, 'anger': 10}"
1969-03-29,8,Galveston,Glen Campbell,11,8,5,Positive,"{'sadness': 3, 'anticipation': 3, 'fear': 6, 'joy': 3, 'trust': 2, 'anger': 2, 'disgust': 1, 'surprise': 1}"
1969-03-29,9,My Whole World Ended (The Moment You Left Me),David Ruffin,13,9,7,Positive,"{'joy': 46, 'anticipation': 6, 'surprise': 6, 'trust': 7, 'anger': 5, 'fear': 3, 'sadness': 4, 'disgust': 4}"
1969-03-29,10,Only The Strong Survive,Jerry Butler,24,10,5,Positive,"{'joy': 5, 'trust': 2, 'anticipation': 4, 'anger': 1, 'disgust': 3, 'surprise': 3, 'fear': 2, 'sadness': 1}"
1969-04-05,4,You've Made Me So Very Happy,"Blood, Sweat & Tears",12,4,6,Positive,"{'anticipation': 12, 'joy': 24, 'trust': 9, 'sadness': 6, 'anger': 2, 'disgust': 2, 'fear': 5, 'surprise': 2}"
1969-04-12,7,It's Your Thing,The Isley Brothers,14,7,5,Negative,"{'fear': 11, 'sadness': 11, 'joy': 4, 'anticipation': 1, 'surprise': 2, 'trust': 1, 'anger': 3, 'disgust': 2}"
1969-04-12,8,Hair,The Cowsills,18,8,5,Positive,"{'disgust': 4, 'fear': 1, 'surprise': 2, 'joy': 18, 'trust': 16, 'anticipation': 19, 'anger': 1}"
1969-04-12,10,Twenty-Five Miles,Edwin Starr,13,10,9,Negative,"{'anticipation': 6, 'anger': 10, 'fear': 9, 'joy': 10, 'trust': 4, 'disgust': 7, 'sadness': 7, 'surprise': 8}"
1969-04-19,10,Rock Me,Steppenwolf,11,10,8,Positive,"{'anticipation': 5, 'joy': 9, 'trust': 6, 'fear': 5, 'sadness': 2, 'anger': 3, 'disgust': 1, 'surprise': 2}"
1969-04-26,10,Sweet Cherry Wine,Tommy James And The Shondells,12,10,6,Positive,"{'joy': 15, 'fear': 6, 'anger': 1, 'anticipation': 14, 'trust': 14, 'sadness': 1, 'surprise': 10, 'disgust': 1}"
1969-05-03,9,The Boxer,Simon & Garfunkel,16,9,4,Negative,"{'disgust': 159, 'anger': 156, 'joy': 4, 'surprise': 1, 'sadness': 159, 'anticipation': 1, 'trust': 4, 'fear': 3}"
1969-05-10,9,Atlantis,Donovan,19,9,6,Positive,"{'fear': 19, 'joy': 14, 'anticipation': 7, 'trust': 8, 'surprise': 2, 'sadness': 19}"
1969-05-10,10,Get Back,The Beatles With Billy Preston,NA,10,1,Positive,"{'surprise': 32, 'trust': 29, 'anticipation': 30, 'fear': 43, 'joy': 16, 'sadness': 15, 'anger': 20, 'disgust': 15}"
1969-05-17,5,Love (Can Make You Happy),Mercy,11,5,6,Positive,"{'anticipation': 10, 'joy': 24, 'trust': 13, 'anger': 1, 'disgust': 1}"
1969-05-17,9,Gitarzan,Ray Stevens,17,9,7,Positive,"{'fear': 4, 'anticipation': 9, 'joy': 13, 'trust': 8, 'anger': 3, 'disgust': 2, 'surprise': 3, 'sadness': 5}"
1969-05-17,10,These Eyes,The Guess Who,13,10,7,Positive,"{'sadness': 4, 'anticipation': 3, 'joy': 7, 'trust': 2, 'fear': 2, 'surprise': 1}"
1969-05-24,5,Oh Happy Day,The Edwin Hawkins' Singers Featuring Dorothy Combs Morrison,12,5,5,Positive,"{'anticipation': 83, 'joy': 85, 'trust': 94, 'disgust': 9, 'fear': 21, 'anger': 9, 'surprise': 12, 'sadness': 4}"
1969-05-31,10,Grazing In The Grass,The Friends Of Distinction,12,10,9,Positive,"{'joy': 19, 'surprise': 4, 'anticipation': 5, 'trust': 17}"
1969-06-07,5,Bad Moon Rising,Creedence Clearwater Revival,14,5,6,Negative,"{'anticipation': 5, 'joy': 3, 'anger': 9, 'disgust': 7, 'fear': 10, 'sadness': 9, 'surprise': 2, 'trust': 3}"
1969-06-07,8,Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,11,8,5,Positive,"{'joy': 103, 'trust': 58, 'anger': 45, 'disgust': 21, 'fear': 45, 'surprise': 29, 'sadness': 42, 'anticipation': 52}"
1969-06-07,10,Too Busy Thinking About My Baby,Marvin Gaye,15,10,7,Positive,"{'joy': 16, 'anticipation': 21, 'anger': 1, 'surprise': 2, 'trust': 8}"
1969-06-14,10,One,Three Dog Night,14,10,7,Positive,"{'anger': 1, 'disgust': 1, 'fear': 2, 'sadness': 2, 'anticipation': 3, 'joy': 2, 'surprise': 2, 'trust': 2}"
1969-06-21,9,Good Morning Starshine,Oliver,15,9,5,Positive,"{'anticipation': 14, 'joy': 18, 'surprise': 3, 'trust': 13, 'sadness': 9}"
1969-06-21,10,Spinning Wheel,"Blood, Sweat & Tears",18,10,4,Positive,"{'anger': 2, 'disgust': 1, 'fear': 1, 'sadness': 1, 'anticipation': 1, 'joy': 3, 'surprise': 2, 'trust': 5}"
1969-06-28,9,Israelites,Desmond Dekker And The Aces,12,9,7,Positive,"{'trust': 7, 'surprise': 7, 'joy': 2, 'anger': 2, 'anticipation': 2, 'fear': 2}"
1969-07-05,7,Crystal Blue Persuasion,Tommy James And The Shondells,18,7,5,Positive,"{'sadness': 13, 'anticipation': 6, 'joy': 7, 'surprise': 3, 'trust': 6}"
1969-07-05,8,In The Year 2525,Zager & Evans,35,8,3,Positive,"{'anticipation': 8, 'joy': 8, 'trust': 10, 'anger': 2, 'disgust': 1, 'fear': 4, 'sadness': 2, 'surprise': 1}"
1969-07-05,9,Color Him Father,The Winstons,13,9,7,Positive,"{'trust': 33, 'anticipation': 10, 'sadness': 4, 'joy': 26, 'surprise': 5, 'fear': 3}"
1969-07-12,8,The Ballad Of John And Yoko,The Beatles,11,8,5,Negative,"{'disgust': 18, 'surprise': 6, 'anticipation': 6, 'joy': 7, 'trust': 5, 'anger': 2, 'sadness': 1, 'fear': 1}"
1969-07-12,10,What Does It Take (To Win Your Love),Jr. Walker & The All Stars,14,10,9,Positive,"{'joy': 14, 'trust': 2, 'surprise': 1, 'anticipation': 2}"
1969-07-19,9,My Cherie Amour,Stevie Wonder,11,9,8,Positive,"{'anticipation': 12, 'joy': 13, 'trust': 13, 'sadness': 1, 'surprise': 2}"
1969-07-26,9,"Baby, I Love You",Andy Kim,14,9,10,Positive,"{'joy': 35, 'anticipation': 5, 'surprise': 1, 'trust': 3, 'sadness': 1}"
1969-08-02,6,"Ruby, Don't Take Your Love To Town",Kenny Rogers & The First Edition,15,6,9,Positive,"{'joy': 9, 'anticipation': 4, 'surprise': 2, 'trust': 5, 'anger': 3, 'fear': 5, 'sadness': 2}"
1969-08-02,7,Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond,13,7,6,Positive,"{'anticipation': 11, 'joy': 10, 'sadness': 3, 'trust': 10, 'surprise': 7, 'anger': 2, 'disgust': 1, 'fear': 2}"
1969-08-02,8,Honky Tonk Women,The Rolling Stones,28,8,3,Positive,"{'trust': 2, 'fear': 5, 'sadness': 4, 'joy': 1, 'anger': 1, 'disgust': 1}"
1969-08-09,7,A Boy Named Sue,Johnny Cash,20,7,3,Negative,"{'disgust': 15, 'anger': 25, 'sadness': 24, 'joy': 10, 'surprise': 6, 'anticipation': 7, 'fear': 21, 'trust': 5}"
1969-08-09,9,Put A Little Love In Your Heart,Jackie DeShannon,25,9,7,Positive,"{'joy': 16, 'trust': 5, 'sadness': 3, 'anticipation': 9, 'anger': 1, 'disgust': 1, 'fear': 1, 'surprise': 2}"
1969-08-23,7,Green River,Creedence Clearwater Revival,15,7,4,Positive,"{'joy': 6, 'disgust': 3, 'trust': 6, 'anger': 2, 'anticipation': 2, 'surprise': 1, 'fear': 1, 'sadness': 2}"
1969-08-23,8,Polk Salad Annie,Tony Joe White,13,8,8,Negative,"{'joy': 4, 'trust': 9, 'anticipation': 4, 'disgust': 11, 'fear': 8, 'sadness': 5, 'anger': 6, 'surprise': 1}"
1969-08-23,9,Get Together,The Youngbloods,14,9,17,Positive,"{'joy': 18, 'anticipation': 2, 'sadness': 4, 'trust': 16, 'anger': 2, 'fear': 4, 'surprise': 7}"
1969-08-23,10,Laughing,The Guess Who,12,10,7,Positive,"{'joy': 27, 'surprise': 6, 'sadness': 8, 'fear': 10, 'anticipation': 2, 'anger': 5}"
1969-08-30,3,"Sugar, Sugar",The Archies,14,3,6,Positive,"{'sadness': 6, 'joy': 13, 'trust': 8, 'anger': 1, 'anticipation': 7, 'disgust': 1, 'fear': 1, 'surprise': 7}"
1969-08-30,9,Lay Lady Lay,Bob Dylan,12,9,8,Positive,"{'trust': 3, 'surprise': 2, 'joy': 3, 'disgust': 1, 'anticipation': 4}"
1969-09-06,8,Easy To Be Hard,Three Dog Night,13,8,5,Negative,"{'sadness': 9, 'anger': 6, 'disgust': 6, 'fear': 6, 'anticipation': 3, 'joy': 7, 'trust': 7}"
